================================================================================
=== Estadísticas descriptivas: Conjunto completo ===
================================================================================

                               count                           mean                            min                            25%                            50%                            75%                            max       std
rawTime_5K                     2050  2025-03-16 07:53:17.048268032  2025-03-16 07:45:59.223000064  2025-03-16 07:50:54.754249984     2025-03-16 07:52:17.896000  2025-03-16 07:53:27.407000064     2025-03-16 08:37:05.420000      NaN
rawTime_10K                    2050  2025-03-16 08:13:06.402793216  2025-03-16 08:00:43.136999936  2025-03-16 08:10:07.251500032     2025-03-16 08:12:28.012000  2025-03-16 08:14:24.077499904     2025-03-16 08:58:20.376000      NaN
rawTime_15K                    2050  2025-03-16 08:33:06.271385344  2025-03-16 08:15:34.969999872  2025-03-16 08:29:31.057250048     2025-03-16 08:32:50.676000  2025-03-16 08:35:30.802749952  2025-03-16 09:18:46.475000064      NaN
rawTime_20K                    2050  2025-03-16 08:52:56.185225216     2025-03-16 08:30:15.800000  2025-03-16 08:48:48.629499904  2025-03-16 08:52:58.837000192  2025-03-16 08:56:24.569500160     2025-03-16 09:39:06.480000      NaN
rawTime_Media                  2050  2025-03-16 08:57:18.771353088  2025-03-16 08:33:30.820999936  2025-03-16 08:53:01.657250048  2025-03-16 08:57:26.064499968  2025-03-16 09:01:00.102000128  2025-03-16 09:43:40.519000064      NaN
rawTime_25K                    2050  2025-03-16 09:12:52.366156288     2025-03-16 08:45:02.400000     2025-03-16 09:08:07.640000  2025-03-16 09:13:09.458999808  2025-03-16 09:17:21.689999872     2025-03-16 09:59:22.540000      NaN
rawTime_30K                    2050  2025-03-16 09:33:04.542619136     2025-03-16 08:59:45.640000  2025-03-16 09:27:51.157500160  2025-03-16 09:33:44.885000192  2025-03-16 09:38:33.337500160     2025-03-16 10:19:49.800000      NaN
rawTime_35K                    2050  2025-03-16 09:53:28.531910912  2025-03-16 09:14:18.996999936  2025-03-16 09:47:36.442499840  2025-03-16 09:54:47.135000064  2025-03-16 09:59:52.352500224  2025-03-16 10:38:44.481999872      NaN
rawTime_40K                    2050  2025-03-16 10:14:23.622800896  2025-03-16 09:28:52.291000064  2025-03-16 10:07:33.966500096  2025-03-16 10:16:31.990499840  2025-03-16 10:21:46.472750080  2025-03-16 10:58:27.976999936      NaN
rawTime_Meta                   2050  2025-03-16 10:23:28.321516032  2025-03-16 09:35:29.209999872     2025-03-16 10:16:20.712000  2025-03-16 10:25:45.825500160  2025-03-16 10:31:10.698999808  2025-03-16 11:07:24.704999936      NaN
gender                    2045.0000                         0.0411                         0.0000                         0.0000                         0.0000                         0.0000                         1.0000   0.1985
age                       2050.0000                        36.7929                        18.5462                        29.7618                        35.6646                        43.1793                        71.9671   8.7207
total_time_sec            2050.0000                     10207.1496                      7453.9380                      9873.5410                     10405.8465                     10685.1735                     10982.5900 613.0578
pace_5K                   2050.0000                         4.2005                         3.6785                         3.9852                         4.1033                         4.3353                         5.6683   0.3005
pace_10K                  2050.0000                         4.2243                         3.8003                         3.9911                         4.1408                         4.3544                         9.5671   0.3188
