
=== Evento(s): Marato ===
                                  athlete_id  split  netTime_sec       anomaly_type
403109                              A4A7Z85B   Meta    21372.029  Outlier de tiempo
404262                              A3D691Z3     5K     4792.566  Outlier de tiempo
405310                              83D3AC18    35K    17914.091  Outlier de tiempo
405311                              83D3AC18    40K    20665.530  Outlier de tiempo
405312                              83D3AC18   Meta    21974.247  Outlier de tiempo
405864                              D4D873C2    10K     4762.123  Outlier de tiempo
405865                              D4D873C2    15K     7355.301  Outlier de tiempo
405866                              D4D873C2    20K     9997.717  Outlier de tiempo
405867                              D4D873C2  Media    10621.709  Outlier de tiempo
405868                              D4D873C2    25K    12640.377  Outlier de tiempo
405869                              D4D873C2    30K    15465.427  Outlier de tiempo
405870                              D4D873C2   Meta    22102.966  Outlier de tiempo
407230                              53294DYB    30K    15261.349  Outlier de tiempo
407578                              Y99158ZF   Meta    24110.202  Outlier de tiempo
408143                              856Y2D4A    10K     4880.827  Outlier de tiempo
408144                              856Y2D4A    15K     7267.390  Outlier de tiempo
408145                              856Y2D4A    20K     9441.976  Outlier de tiempo
408146                              856Y2D4A  Media    10151.166  Outlier de tiempo
408147                              856Y2D4A    25K    12659.075  Outlier de tiempo
408822                              6AD812C6     5K     3368.367  Outlier de tiempo
408823                              6AD812C6    10K     5067.879  Outlier de tiempo
410115                              33DAZ52D  Media     9958.955  Outlier de tiempo
410116                              33DAZ52D    25K    11871.129  Outlier de tiempo
410117                              33DAZ52D    30K    14509.859  Outlier de tiempo
410832                              724F5YA5     5K     2369.083  Outlier de tiempo
410833                              724F5YA5    10K     4754.931  Outlier de tiempo
410834                              724F5YA5    15K     7148.085  Outlier de tiempo
410835                              724F5YA5    20K     9566.974  Outlier de tiempo
410836                              724F5YA5  Media    10099.706  Outlier de tiempo
410837                              724F5YA5    25K    12154.004  Outlier de tiempo
410838                              724F5YA5    30K    14766.137  Outlier de tiempo
410839                              724F5YA5    35K    17308.364  Outlier de tiempo
411311                              F744FZ86     5K     2353.207  Outlier de tiempo
411391                              D9982ZDA    20K     9375.769  Outlier de tiempo
411392                              D9982ZDA  Media    10089.630  Outlier de tiempo
411393                              D9982ZDA    25K    12156.647  Outlier de tiempo
411394                              D9982ZDA    30K    14981.917  Outlier de tiempo
411395                              D9982ZDA    35K    17639.557  Outlier de tiempo
411396                              D9982ZDA    40K    20289.534  Outlier de tiempo
411397                              D9982ZDA   Meta    21443.758  Outlier de tiempo
412266                              F52934DB    10K     4817.738  Outlier de tiempo
412267                              F52934DB    15K     7354.200  Outlier de tiempo
412268                              F52934DB    20K     9474.274  Outlier de tiempo
412269                              F52934DB  Media    10007.391  Outlier de tiempo
412270                              F52934DB    25K    12548.026  Outlier de tiempo
412271                              F52934DB    30K    14983.766  Outlier de tiempo
412272                              F52934DB    35K    17245.777  Outlier de tiempo
413056                              Y6B72186    30K    14565.940  Outlier de tiempo
413057                              Y6B72186    35K    17527.180  Outlier de tiempo
413058                              Y6B72186    40K    20542.786  Outlier de tiempo
413059                              Y6B72186   Meta    21659.546  Outlier de tiempo
414287  55fbdf6c-b499-4a88-a87b-91950d9a4a15     5K       13.387  Outlier de tiempo
414288  55fbdf6c-b499-4a88-a87b-91950d9a4a15    10K      724.620  Outlier de tiempo
414289  55fbdf6c-b499-4a88-a87b-91950d9a4a15    15K     1952.831  Outlier de tiempo
414293  55fbdf6c-b499-4a88-a87b-91950d9a4a15    40K     6342.552  Outlier de tiempo
415098                              54C24Z86    25K    12100.857  Outlier de tiempo
